Chave_Produto;Codigo_Produto;Nome_Produto;Sub_Categoria;Categoria_Produto;Cor;Tamanho;Linha_Produto;Modelo_Produto;Descricao_Produto;Status_Produto
242;FR-R92R-44;HL Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
243;FR-R92R-44;HL Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
244;FR-R92R-48;HL Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
245;FR-R92R-48;HL Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
246;FR-R92R-48;HL Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
247;FR-R92R-52;HL Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
248;FR-R92R-52;HL Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
249;FR-R92R-52;HL Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
250;FR-R92R-56;HL Road Frame - Red, 56;Road Frames;Componentes;Vermelho;56;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
251;FR-R92R-56;HL Road Frame - Red, 56;Road Frames;Componentes;Vermelho;56;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
252;FR-R92R-56;HL Road Frame - Red, 56;Road Frames;Componentes;Vermelho;56;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
253;FR-R38B-58;LL Road Frame - Black, 58;Road Frames;Componentes;Preto;58;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
254;FR-R38B-58;LL Road Frame - Black, 58;Road Frames;Componentes;Preto;58;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
255;FR-R38B-58;LL Road Frame - Black, 58;Road Frames;Componentes;Preto;58;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
256;FR-R38B-60;LL Road Frame - Black, 60;Road Frames;Componentes;Preto;60;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
257;FR-R38B-60;LL Road Frame - Black, 60;Road Frames;Componentes;Preto;60;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
258;FR-R38B-60;LL Road Frame - Black, 60;Road Frames;Componentes;Preto;60;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
259;FR-R38B-62;LL Road Frame - Black, 62;Road Frames;Componentes;Preto;62;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
260;FR-R38B-62;LL Road Frame - Black, 62;Road Frames;Componentes;Preto;62;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
261;FR-R38B-62;LL Road Frame - Black, 62;Road Frames;Componentes;Preto;62;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
262;FR-R38R-44;LL Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
263;FR-R38R-44;LL Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
264;FR-R38R-48;LL Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
265;FR-R38R-48;LL Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
266;FR-R38R-52;LL Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
267;FR-R38R-52;LL Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
268;FR-R38R-58;LL Road Frame - Red, 58;Road Frames;Componentes;Vermelho;58;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
269;FR-R38R-58;LL Road Frame - Red, 58;Road Frames;Componentes;Vermelho;58;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
270;FR-R38R-60;LL Road Frame - Red, 60;Road Frames;Componentes;Vermelho;60;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
271;FR-R38R-60;LL Road Frame - Red, 60;Road Frames;Componentes;Vermelho;60;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
272;FR-R38R-62;LL Road Frame - Red, 62;Road Frames;Componentes;Vermelho;62;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
273;FR-R38R-62;LL Road Frame - Red, 62;Road Frames;Componentes;Vermelho;62;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
274;FR-R72R-44;ML Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Desatualizado
275;FR-R72R-48;ML Road Frame - Red, 48;Road Frames;Componentes;Vermelho;48;R ;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Desatualizado
276;FR-R72R-52;ML Road Frame - Red, 52;Road Frames;Componentes;Vermelho;52;R ;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Desatualizado
277;FR-R72R-58;ML Road Frame - Red, 58;Road Frames;Componentes;Vermelho;58;R ;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Desatualizado
278;FR-R72R-60;ML Road Frame - Red, 60;Road Frames;Componentes;Vermelho;60;R ;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Desatualizado
279;FR-R38B-44;LL Road Frame - Black, 44;Road Frames;Componentes;Preto;44;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
280;FR-R38B-44;LL Road Frame - Black, 44;Road Frames;Componentes;Preto;44;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
281;FR-R38B-44;LL Road Frame - Black, 44;Road Frames;Componentes;Preto;44;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
282;FR-R38B-48;LL Road Frame - Black, 48;Road Frames;Componentes;Preto;48;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
283;FR-R38B-48;LL Road Frame - Black, 48;Road Frames;Componentes;Preto;48;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
284;FR-R38B-48;LL Road Frame - Black, 48;Road Frames;Componentes;Preto;48;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
285;FR-R38B-52;LL Road Frame - Black, 52;Road Frames;Componentes;Preto;52;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
286;FR-R38B-52;LL Road Frame - Black, 52;Road Frames;Componentes;Preto;52;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Desatualizado
287;FR-R38B-52;LL Road Frame - Black, 52;Road Frames;Componentes;Preto;52;R ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Atualizado
288;FR-M94S-42;HL Mountain Frame - Silver, 42;Mountain Frames;Componentes;Prata;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
289;FR-M94S-42;HL Mountain Frame - Silver, 42;Mountain Frames;Componentes;Prata;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
290;FR-M94S-42;HL Mountain Frame - Silver, 42;Mountain Frames;Componentes;Prata;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
291;FR-M94S-44;HL Mountain Frame - Silver, 44;Mountain Frames;Componentes;Prata;44;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
292;FR-M94S-52;HL Mountain Frame - Silver, 48;Mountain Frames;Componentes;Prata;48;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
293;FR-M94S-46;HL Mountain Frame - Silver, 46;Mountain Frames;Componentes;Prata;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
294;FR-M94S-46;HL Mountain Frame - Silver, 46;Mountain Frames;Componentes;Prata;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
295;FR-M94S-46;HL Mountain Frame - Silver, 46;Mountain Frames;Componentes;Prata;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
296;FR-M94B-42;HL Mountain Frame - Black, 42;Mountain Frames;Componentes;Preto;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
297;FR-M94B-42;HL Mountain Frame - Black, 42;Mountain Frames;Componentes;Preto;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
298;FR-M94B-42;HL Mountain Frame - Black, 42;Mountain Frames;Componentes;Preto;42;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
299;FR-M94B-44;HL Mountain Frame - Black, 44;Mountain Frames;Componentes;Preto;44;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
300;FR-M94B-48;HL Mountain Frame - Black, 48;Mountain Frames;Componentes;Preto;48;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
301;FR-M94B-46;HL Mountain Frame - Black, 46;Mountain Frames;Componentes;Preto;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
302;FR-M94B-46;HL Mountain Frame - Black, 46;Mountain Frames;Componentes;Preto;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
303;FR-M94B-46;HL Mountain Frame - Black, 46;Mountain Frames;Componentes;Preto;46;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
304;FR-M94B-38;HL Mountain Frame - Black, 38;Mountain Frames;Componentes;Preto;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
305;FR-M94B-38;HL Mountain Frame - Black, 38;Mountain Frames;Componentes;Preto;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
306;FR-M94B-38;HL Mountain Frame - Black, 38;Mountain Frames;Componentes;Preto;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
307;FR-M94S-38;HL Mountain Frame - Silver, 38;Mountain Frames;Componentes;Prata;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
308;FR-M94S-38;HL Mountain Frame - Silver, 38;Mountain Frames;Componentes;Prata;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Desatualizado
309;FR-M94S-38;HL Mountain Frame - Silver, 38;Mountain Frames;Componentes;Prata;38;M ;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Atualizado
310;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bicicletas;Vermelho;62;R ;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Desatualizado
311;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bicicletas;Vermelho;44;R ;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Desatualizado
312;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bicicletas;Vermelho;48;R ;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Desatualizado
313;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bicicletas;Vermelho;52;R ;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Desatualizado
314;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bicicletas;Vermelho;56;R ;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Desatualizado
315;BK-R68R-58;Road-450 Red, 58;Road Bikes;Bicicletas;Vermelho;58;R ;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Desatualizado
316;BK-R68R-60;Road-450 Red, 60;Road Bikes;Bicicletas;Vermelho;60;R ;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Desatualizado
317;BK-R68R-44;Road-450 Red, 44;Road Bikes;Bicicletas;Vermelho;44;R ;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Desatualizado
318;BK-R68R-48;Road-450 Red, 48;Road Bikes;Bicicletas;Vermelho;48;R ;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Desatualizado
319;BK-R68R-52;Road-450 Red, 52;Road Bikes;Bicicletas;Vermelho;52;R ;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Desatualizado
320;BK-R50R-58;Road-650 Red, 58;Road Bikes;Bicicletas;Vermelho;58;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
321;BK-R50R-58;Road-650 Red, 58;Road Bikes;Bicicletas;Vermelho;58;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
322;BK-R50R-60;Road-650 Red, 60;Road Bikes;Bicicletas;Vermelho;60;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
323;BK-R50R-60;Road-650 Red, 60;Road Bikes;Bicicletas;Vermelho;60;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
324;BK-R50R-62;Road-650 Red, 62;Road Bikes;Bicicletas;Vermelho;62;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
325;BK-R50R-62;Road-650 Red, 62;Road Bikes;Bicicletas;Vermelho;62;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
326;BK-R50R-44;Road-650 Red, 44;Road Bikes;Bicicletas;Vermelho;44;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
327;BK-R50R-44;Road-650 Red, 44;Road Bikes;Bicicletas;Vermelho;44;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
328;BK-R50R-48;Road-650 Red, 48;Road Bikes;Bicicletas;Vermelho;48;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
329;BK-R50R-48;Road-650 Red, 48;Road Bikes;Bicicletas;Vermelho;48;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
330;BK-R50R-52;Road-650 Red, 52;Road Bikes;Bicicletas;Vermelho;52;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
331;BK-R50R-52;Road-650 Red, 52;Road Bikes;Bicicletas;Vermelho;52;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
332;BK-R50B-58;Road-650 Black, 58;Road Bikes;Bicicletas;Preto;58;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
333;BK-R50B-58;Road-650 Black, 58;Road Bikes;Bicicletas;Preto;58;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
334;BK-R50B-60;Road-650 Black, 60;Road Bikes;Bicicletas;Preto;60;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
335;BK-R50B-60;Road-650 Black, 60;Road Bikes;Bicicletas;Preto;60;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
336;BK-R50B-62;Road-650 Black, 62;Road Bikes;Bicicletas;Preto;62;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
337;BK-R50B-62;Road-650 Black, 62;Road Bikes;Bicicletas;Preto;62;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
338;BK-R50B-44;Road-650 Black, 44;Road Bikes;Bicicletas;Preto;44;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
339;BK-R50B-44;Road-650 Black, 44;Road Bikes;Bicicletas;Preto;44;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
340;BK-R50B-48;Road-650 Black, 48;Road Bikes;Bicicletas;Preto;48;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
341;BK-R50B-48;Road-650 Black, 48;Road Bikes;Bicicletas;Preto;48;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
342;BK-R50B-52;Road-650 Black, 52;Road Bikes;Bicicletas;Preto;52;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
343;BK-R50B-52;Road-650 Black, 52;Road Bikes;Bicicletas;Preto;52;R ;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Desatualizado
344;BK-M82S-38;Mountain-100 Silver, 38;Mountain Bikes;Bicicletas;Prata;38;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
345;BK-M82S-42;Mountain-100 Silver, 42;Mountain Bikes;Bicicletas;Prata;42;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
346;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bicicletas;Prata;44;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
347;BK-M82S-48;Mountain-100 Silver, 48;Mountain Bikes;Bicicletas;Prata;48;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
348;BK-M82B-38;Mountain-100 Black, 38;Mountain Bikes;Bicicletas;Preto;38;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
349;BK-M82B-42;Mountain-100 Black, 42;Mountain Bikes;Bicicletas;Preto;42;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
350;BK-M82B-44;Mountain-100 Black, 44;Mountain Bikes;Bicicletas;Preto;44;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
351;BK-M82B-48;Mountain-100 Black, 48;Mountain Bikes;Bicicletas;Preto;48;M ;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Desatualizado
352;BK-M68S-38;Mountain-200 Silver, 38;Mountain Bikes;Bicicletas;Prata;38;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Desatualizado
353;BK-M68S-38;Mountain-200 Silver, 38;Mountain Bikes;Bicicletas;Prata;38;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Atualizado
354;BK-M68S-42;Mountain-200 Silver, 42;Mountain Bikes;Bicicletas;Prata;42;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Desatualizado
355;BK-M68S-42;Mountain-200 Silver, 42;Mountain Bikes;Bicicletas;Prata;42;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Atualizado
356;BK-M68S-46;Mountain-200 Silver, 46;Mountain Bikes;Bicicletas;Prata;46;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Desatualizado
357;BK-M68S-46;Mountain-200 Silver, 46;Mountain Bikes;Bicicletas;Prata;46;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Atualizado
358;BK-M68B-38;Mountain-200 Black, 38;Mountain Bikes;Bicicletas;Preto;38;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Desatualizado
359;BK-M68B-38;Mountain-200 Black, 38;Mountain Bikes;Bicicletas;Preto;38;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Atualizado
360;BK-M68B-42;Mountain-200 Black, 42;Mountain Bikes;Bicicletas;Preto;42;M ;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Desatualizado
